;modelo;combustivel;preco;ano;km;cor;cambio;cidade;airbag motorista;freios ABS;airbag passageiro;ar-condicionado;direção elétrica;volante com regulagem de altura;travas elétricas;cd player com MP3;entrada USB;vidros elétricos dianteiros;limajuste de alturap. traseiro;desemb. traseiro;alarme;ajuste de altura;distribuição eletrônica de frenagem,;controle de tração;retrovisores elétricos;piloto automático;Kit Multimídia;bancos de couro;limp. traseiro;motor
0;Fiat Mobi  Like;Flex;52010.0;2021;58.855;Branco;0;João Pessoa;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000.0
1;Renault Kwid  Zen;Flex;52170.0;2021;52.606;Prata;0;Maceió;0;1;1;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1000.0
2;Volkswagen Gol;Flex;52990.0;2021;67.854;Cinza;0;Mossoró;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000.0
3;Fiat Mobi  Like;Flex;55280.0;2021;54.353;Prata;0;Petrolina;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000.0
4;Volkswagen Gol;Flex;56000.0;2021;46.919;Branco;0;Guarapuava;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1000.0
5;Fiat Grand Siena;Flex;56140.0;2021;40.2;Vermelho;0;Recife;1;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1000.0
6;Volkswagen Voyage  MSI;Flex;56440.0;2020;54.427;Cinza;0;Feira de Santana;0;1;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1600.0
7;Fiat Mobi  Like;Flex;56730.0;2022;40.865;Cinza;0;Sorocaba;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1000.0
8;Fiat Mobi  Like;Flex;57600.0;2022;32.511;Prata;0;João Pessoa;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000.0
9;Fiat Grand Siena;Flex;57900.0;2021;24.74;Preto;0;Natal;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1000.0
