modelo,combustivel,preco,ano,km,cor,cambio,cidade,airbag motorista,freios ABS,airbag passageiro,ar-condicionado,direção elétrica,volante com regulagem de altura,travas elétricas,cd player com MP3,entrada USB,vidros elétricos dianteiros,limajuste de alturap. traseiro,desemb. traseiro,alarme,ajuste de altura,distribuição eletrônica de frenagem,controle de tração,retrovisores elétricos,piloto automático,Kit Multimídia,bancos de couro,limp. traseiro,motor
Volkswagen Fox  VHT,Flex,33000.0,2011,122.27,Preto,0,São Paulo,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1000.0
Volkswagen Gol  VHT Highline,Flex,38900.0,2013,92.0,Preto,0,São Paulo,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1600.0
Volkswagen Gol  VHT City,Flex,37990.0,2014,85.0,Prata,0,Campinas,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1600.0
Volkswagen Gol,Flex,28990.0,2010,177.495,Vermelho,0,Avaré,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1000.0
Renault Megane Grand Tour Mégane Grand Tour Dynamique,Flex,32900.0,2011,89.524,Prata,0,São Paulo,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1600.0
Ford Fiesta Hatch Rocam,Flex,32900.0,2012,191.0,Prata,0,Bauru,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1600.0
Ford New Fiesta Sedan  SE PowerShift,Flex,36000.0,2013,89.0,Branco,1,Rio das Ostras,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1600.0
Fiat Grand Siena Essence,Flex,37900.0,2013,134.875,Preto,0,Recife,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1600.0
Volkswagen Fox  VHT,Flex,35990.0,2011,134.311,Cinza,0,Biritiba-Mirim,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1000.0
Volkswagen Fox Prime,Flex,37990.0,2010,134.6,Preto,0,Tianguá,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1600.0
Volkswagen Fox Plus,Flex,28900.0,2007,142.277,Preto,0,Osasco,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1600.0
Ford Ka  Fly,Flex,24900.0,2011,79.456,Prata,1,São José do Rio Preto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Renault Sandero Authentique  SCe,Flex,38900.0,2017,117.0,Prata,0,Goiânia,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1000.0
Citroën C3 GLX,Flex,28900.0,2010,3.0,Prata,0,Dois Irmãos,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1400.0
Chevrolet Celta LT,Flex,28900.0,2011,163.0,Preto,0,Curitiba,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1000.0
Fiat Palio Fire,Flex,29990.0,2013,157.438,Prata,0,São Leopoldo,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1000.0
Volkswagen Gol  TEC,Flex,37900.0,2014,189.0,Preto,0,Curitiba,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1000.0
Fiat Siena EL,Flex,28900.0,2012,190.0,Preto,0,São José do Rio Preto,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1000.0
Nissan March  S,Flex,35890.0,2013,90.777,Vermelho,0,Barueri,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1000.0
Fiat Uno Vivace,Flex,35900.0,2012,98.4,Azul,0,Novo Hamburgo,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0
Fiat Palio ELX,Flex,27590.0,2010,161.567,Cinza,0,Osasco,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1000.0
Renault Clio Expression,Flex,36990.0,2015,85.5,Vermelho,0,Palhoça,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1000.0
Chevrolet Classic LS  VHCE,Flex,35990.0,2014,160.323,Cinza,0,Valparaíso de Goiás,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Chevrolet Cobalt LTZ,Flex,37900.0,2012,165.0,Prata,0,Curitiba,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400.0
Chevrolet Zafira Elite,Flex,33900.0,2009,150.0,Prata,0,Penha,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,2000.0
Fiat Siena EL,Flex,36590.0,2013,163.456,Vermelho,0,Santa Inês,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1400.0
Volkswagen Fox  VHT,Flex,34900.0,2012,108.0,Prata,0,Belo Horizonte,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1000.0
Volkswagen Gol,Flex,34900.0,2012,99.0,Prata,0,São José dos Pinhais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Fiat Strada Fire,Flex,32900.0,2012,1.111,Prata,0,Carapicuíba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400.0
Toyota Corolla Sedan XLi,Gasolina,31900.0,2006,142.0,Preto,1,São Paulo,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1600.0
Renault Sandero Authentique,Flex,38900.0,2015,144.733,Prata,0,Campinas,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000.0
Renault Symbol  Expression,Flex,27500.0,2012,104.123,Prata,0,Brasília,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1600.0
Volkswagen Gol  TEC Trendline,Flex,37900.0,2014,132.6,Branco,0,Curitiba,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1000.0
Chevrolet Montana Conquest,Flex,36500.0,2009,92.0,Prata,0,Ponta Grossa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400.0
Volkswagen Up!  E-Flex move up!,Flex,35900.0,2014,111.111,Branco,0,Uberlândia,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1000.0
Fiat Uno Attractive,Flex,38900.0,2016,115.756,Prata,0,Carapicuíba,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1000.0
Chevrolet Prisma Maxx,Flex,25900.0,2008,130.0,Vermelho,0,Alvorada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400.0
Chevrolet Montana LS,Flex,38900.0,2011,110.0,Prata,0,Mogi Guaçu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400.0
Fiat Uno Vivace,Flex,32000.0,2011,96.0,Cinza,0,São Carlos,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1000.0
Fiat Grand Siena Attractive,Flex,33900.0,2012,150.0,Preto,0,São Paulo,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1400.0
Chevrolet Prisma Maxx,Flex,28900.0,2009,146.648,Prata,0,Aparecida de Goiânia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400.0
Fiat Palio Attractive,Flex,36900.0,2012,136.7,Preto,0,Amparo,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1400.0
Chevrolet Prisma Maxx,Flex,26890.0,2009,157.621,Cinza,0,São Paulo,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1400.0
Chevrolet Celta LT,Flex,28900.0,2011,95.0,Prata,0,Petrópolis,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1000.0
Volkswagen Fox  VHT,Flex,35900.0,2012,147.0,Prata,0,Belo Horizonte,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1000.0
Fiat Punto Essence,Flex,37900.0,2013,160.0,Cinza,0,São Paulo,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1600.0
Fiat Doblò Cargo,Flex,34900.0,2011,327.976,Amarelo,0,Curitiba,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1400.0
Volkswagen SpaceFox Plus,Flex,32990.0,2010,100.0,Prata,0,Botucatu,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1600.0
Volkswagen SpaceFox,Flex,33900.0,2011,148.0,Preto,0,Cordeiro,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1600.0
Chevrolet Montana Conquest,Flex,34900.0,2009,146.458,Prata,0,São José dos Pinhais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400.0
Fiat Palio Fire,Flex,26900.0,2009,168.444,Vermelho,0,São Paulo,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1000.0
Citroën C3 Exclusive Solaris,Flex,33900.0,2012,92.812,Prata,1,São Paulo,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1600.0
Volkswagen Voyage,Flex,37970.0,2012,113.955,Prata,0,Rio de Janeiro,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1600.0
Volkswagen Voyage  TEC City,Flex,37890.0,2013,114.0,Cinza,0,Mogi Guaçu,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1000.0
Chevrolet Classic LS VHC E,Flex,26800.0,2011,132.21,Branco,0,Campo Grande,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000.0
Renault Captur  TCe Iconic CVT,Flex,112967.0,2021,36.993,Marrom,1,Vitória da Conquista,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1300.0
Chevrolet Meriva Joy,Flex,25000.0,2005,151.653,Prata,0,Catanduva,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1800.0
Ford New Fiesta Hatch New Fiesta SE,Flex,36900.0,2013,148.0,Prata,0,Sapucaia do Sul,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1600.0
Fiat Uno Vivace,Flex,34900.0,2014,83.0,Branco,0,João Pessoa,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1000.0
Chevrolet Celta LT,Flex,32900.0,2012,101.0,Branco,0,Joinville,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1000.0
Citroën C3 Tendance,Flex,37900.0,2014,63.0,Branco,0,Salvador,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1500.0
Volkswagen Fox  VHT Prime,Flex,35900.0,2011,185.565,Preto,0,São Carlos,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1600.0
Ford Fiesta Hatch S Rocam,Flex,29900.0,2013,161.0,Preto,0,São José do Rio Preto,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1000.0
Ford Fiesta Hatch Rocam,Flex,27990.0,2012,135.0,Preto,0,Nova Friburgo,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1000.0
Volkswagen Gol,Flex,34900.0,2012,113.297,Branco,0,Novo Hamburgo,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1600.0
Peugeot 307 Sedan Presence,Flex,29900.0,2010,151.0,Preto,0,Joinville,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1600.0
Renault Sandero Stepway,Flex,36900.0,2012,162.334,Prata,0,Cianorte,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1600.0
Kia Picanto   J320,Flex,36900.0,2012,129.993,Branco,0,Belo Horizonte,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1000.0
Fiat Siena EL,Flex,36590.0,2013,163.456,Vermelho,0,Santa Inês,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1400.0
Nissan March  S,Flex,33500.0,2013,110.296,Branco,0,São Paulo,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1000.0
Fiat Palio Fire,Flex,27890.0,2014,132.819,Preto,0,São Paulo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Volkswagen Gol,Flex,29900.0,2010,135.0,Preto,0,Itápolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Chevrolet Agile LT,Flex,32900.0,2010,144.0,Vermelho,0,Colombo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400.0
Chevrolet Celta LS,Flex,27890.0,2011,159.0,Prata,0,Belo Horizonte,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Ford Fiesta Hatch SE  RoCam,Flex,32790.0,2013,84.874,Prata,0,São Paulo,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1000.0
Chevrolet Zafira Expression,Flex,29900.0,2008,207.858,Prata,1,Osasco,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,2000.0
Volkswagen Fox  VHT,Flex,38900.0,2012,70.0,Preto,1,São Paulo,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1600.0
Nissan Tiida SL,Flex,29990.0,2009,113.0,Preto,1,Recife,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1800.0
Nissan Livina S,Flex,30890.0,2012,251.2,Vermelho,0,Brasília,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1600.0
Chevrolet Agile LTZ,Flex,32900.0,2011,122.819,Prata,0,Belo Horizonte,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1400.0
Volkswagen Gol  TEC,Flex,38890.0,2013,155.141,Preto,0,Barueri,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1000.0
Renault Logan Expression,Flex,36900.0,2015,92.451,Prata,0,São Paulo,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1600.0
Citroën C4 Pallas Exclusive,Flex,29990.0,2010,127.0,Prata,0,Campinas,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2000.0
Fiat Uno Vivace,Flex,34900.0,2013,131.5,Branco,0,Gravataí,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1000.0
Fiat Palio Attractive,Flex,32890.0,2012,90.0,Vermelho,0,Belo Horizonte,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1000.0
Chevrolet Montana Sport,Flex,35990.0,2006,192.355,Prata,0,Sorocaba,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1800.0
Ford Fiesta Hatch S Rocam,Flex,33333.0,2014,110.0,Preto,0,Osasco,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1000.0
Nissan Livina S,Flex,38900.0,2013,78.0,Cinza,0,São Paulo,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1600.0
Ford Fiesta Hatch First,Flex,23900.0,2007,216.749,Preto,0,São Paulo,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1600.0
Ford Ka,Flex,25900.0,2012,119.657,Vermelho,0,São Paulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Fiat Uno Vivace,Flex,32900.0,2012,147.0,Prata,0,São Paulo,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1000.0
Fiat Siena EL,Flex,35900.0,2014,110.0,Prata,0,Campo Grande,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0
Volkswagen Fox Plus,Flex,25900.0,2007,180.0,Preto,0,Cascavel,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1000.0
Volkswagen Gol,Flex,27500.0,2009,300.0,Prata,0,Ribeirão Preto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Chevrolet Prisma Maxx,Flex,29900.0,2009,125.8,Branco,0,Osório,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1400.0
Fiat Palio Fire,Flex,20900.0,2008,107.0,Preto,0,Sertãozinho,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1000.0
Peugeot 207 Hatch XS,Flex,27990.0,2012,113.0,Preto,1,Jundiaí,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1600.0
Chevrolet Montana LS,Flex,37900.0,2011,,Preto,0,Blumenau,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1400.0
Renault Clio Expression,Flex,36900.0,2015,83.0,Vermelho,0,Jundiaí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Fiat Palio Attractive,Flex,35900.0,2013,135.0,Branco,0,Mirassol,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1000.0
Ford Fiesta Hatch S Rocam,Flex,32990.0,2014,128.0,Prata,0,Campinas,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1000.0
Citroën C3 Tendance,Flex,34900.0,2012,126.0,Prata,0,Praia Grande,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1500.0
Volkswagen Fox  VHT,Flex,34500.0,2012,190.0,Vermelho,0,Nova Friburgo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1000.0
Volkswagen Fox  VHT,Flex,35900.0,2012,77.665,Vermelho,0,Santo André,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1000.0
Volkswagen Gol,Flex,33099.0,2014,99.628,Branco,0,São Paulo,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Fiat Argo  Drive,Flex,58880.0,2019,67.248,Branco,0,Pato Branco,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1000.0
Fiat Uno Vivace,Flex,35900.0,2013,98.0,Cinza,0,Fortaleza,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000.0
Fiat Grand Siena Attractive,Flex,37900.0,2014,110.0,Prata,0,Praia Grande,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1400.0
Chevrolet Agile LTZ,Flex,32900.0,2011,138.109,Prata,0,São Roque,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1400.0
Chevrolet Celta LT,Flex,28900.0,2012,120.1,Prata,0,São Paulo,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1000.0
Chevrolet Meriva Maxx,Flex,28500.0,2009,226.028,Preto,0,São José do Rio Preto,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1400.0
Volkswagen SpaceFox Comfortline,MultiFlex (Alc,29700.0,2007,215.0,Prata,0,Blumenau,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1600.0
Ford Ka,Flex,25500.0,2012,119.5,Vermelho,0,São José dos Pinhais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Volkswagen Voyage  MSI,Flex,56440.0,2020,54.427,Cinza,0,Feira de Santana,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1600.0
Fiat Uno Vivace,Flex,34900.0,2012,137.155,Prata,0,Belo Horizonte,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0
Citroën C3 GLX,Flex,23900.0,2007,118.0,Preto,0,Mogi das Cruzes,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1400.0
Renault Sandero Expression,Flex,33000.0,2013,170.0,Preto,0,Sombrio,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1000.0
Peugeot 207 Sedan 207 Passion XR,Flex,21990.0,2010,199.886,Prata,0,Barretos,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1400.0
Nissan March  SV,Flex,38900.0,2012,43.99,Prata,0,Votuporanga,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1600.0
Chevrolet Celta LT,Flex,28900.0,2011,163.0,Preto,0,Curitiba,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1000.0
Fiat Mobi  Like,Flex,49900.0,2021,70.292,Prata,0,São José dos Campos,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1000.0
Chevrolet Classic LS  VHCE,Flex,34990.0,2014,300.0,Preto,0,Dourados,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Fiat Palio Sporting  Dualogic,Flex,38900.0,2012,133.0,Amarelo,1,Joinville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600.0
Volkswagen Gol,Flex,29900.0,2010,135.0,Preto,0,Itápolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Chevrolet Corsa Hatch Maxx,Flex,28000.0,2010,85.47,Verde,0,Parnaíba,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1400.0
Volkswagen Fox  TEC,Flex,35900.0,2012,115.0,Vermelho,0,São Paulo,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1000.0
Volkswagen Fox Black,Flex,32900.0,2009,109.208,Preto,0,São Paulo,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1000.0
Renault Kwid Zen  SCe,Flex,37990.0,2018,94.126,Branco,0,Gravataí,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1000.0
Volkswagen SpaceFox Comfortline,Flex,31990.0,2009,100.0,Preto,0,Campinas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600.0
Ford Fiesta Hatch SE  RoCam,Flex,32900.0,2013,140.296,Preto,0,Santo André,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Kia Picanto EX,Gasolina,26900.0,2011,123.456,Prata,0,Ribeirão Preto,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1000.0
Citroën C3 Tendance,Flex,34900.0,2013,142.0,Cinza,0,São Paulo,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1500.0
Volkswagen Gol Power,Flex,32500.0,2009,108.35,Preto,0,Santos,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1600.0
Volkswagen Fox Plus,Flex,30900.0,2008,159.0,Prata,0,Mogi das Cruzes,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1600.0
Fiat Uno Vivace,Flex,32000.0,2011,96.0,Cinza,0,São Carlos,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1000.0
Volkswagen Gol Trend,Flex,25900.0,2008,156.0,Prata,0,São José dos Campos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000.0
Volkswagen Fox,Flex,32900.0,2010,150.0,Vermelho,0,Votorantim,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1600.0
Renault Sandero Expression,Flex,28900.0,2010,210.2,Prata,0,Três Lagoas,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1600.0
Citroën C3 GLX,Flex,28890.0,2012,116.0,Prata,0,São Paulo,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1400.0
Renault Sandero Privilège  Hi-Torque,Flex,28900.0,2008,160.0,Prata,0,Morro Agudo,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1600.0
Citroën Xsara Picasso Exclusive,Flex,21500.0,2009,110.0,Preto,0,São Paulo,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1600.0
Ford Fiesta Hatch Rocam,Flex,33700.0,2013,90.0,Preto,0,Curitiba,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1600.0
Chevrolet Astra Hatch Advantage,Flex,36000.0,2011,127.0,Branco,0,Joinville,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,2000.0
Renault Sandero Expression,Flex,35900.0,2015,135.0,Cinza,0,Curitiba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Volkswagen Gol,Flex,32900.0,2012,134.908,Prata,0,São Carlos,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1000.0
Renault Sandero Expression,Flex,26900.0,2010,175.575,Prata,0,São Paulo,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1000.0
Renault Symbol  Privilège,Flex,23900.0,2009,155.985,Preto,0,São Paulo,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1600.0
Citroën C3 GLX,Flex,28900.0,2011,149.0,Vermelho,0,Ponta Grossa,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1400.0
Volkswagen Fox  VHT,Flex,35990.0,2012,128.042,Preto,0,Sorocaba,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1000.0
Volkswagen Gol,Flex,27000.0,2009,198.0,Preto,0,Itapira,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1000.0
Ford Fiesta Hatch S Rocam,Flex,29900.0,2014,132.0,Vermelho,0,São Paulo,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1000.0
Fiat Uno Way,Flex,35000.0,2012,90.0,Cinza,0,Rio Branco,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1000.0
Ford Fiesta Sedan  Rocam,Flex,34900.0,2013,86.337,Branco,0,Ariquemes,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1600.0
